antecedents,consequents,confidence
"frozenset({'Q11A', 'Q24E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q11B'})",frozenset({'ALTA'}),1.0
frozenset({'Q11B'}),"frozenset({'Q12A', 'ALTA'})",0.9865978587383502
"frozenset({'Q11B', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q11B'}),"frozenset({'ALTA', 'Q15A'})",0.9792805977046907
"frozenset({'Q12A', 'Q13A'})",frozenset({'ALTA'}),1.0
frozenset({'Q13A'}),"frozenset({'Q12A', 'ALTA'})",0.9555356609967173
"frozenset({'Q12A', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q12A'}),"frozenset({'ALTA', 'Q15A'})",0.8056360895280066
frozenset({'Q15A'}),"frozenset({'Q12A', 'ALTA'})",0.9293438273394128
"frozenset({'Q12A', 'Q17A'})",frozenset({'ALTA'}),1.0
frozenset({'Q17A'}),"frozenset({'Q12A', 'ALTA'})",0.8589955936123004
"frozenset({'Q12A', 'Q17B'})",frozenset({'ALTA'}),1.0
frozenset({'Q17B'}),"frozenset({'Q12A', 'ALTA'})",0.9428362372524809
"frozenset({'Q12A', 'Q18A'})",frozenset({'ALTA'}),1.0
frozenset({'Q12A'}),"frozenset({'ALTA', 'Q18A'})",0.8007653948741736
frozenset({'Q18A'}),"frozenset({'Q12A', 'ALTA'})",0.8950097213220998
"frozenset({'Q12A', 'Q19B'})",frozenset({'ALTA'}),1.0
frozenset({'Q19B'}),"frozenset({'Q12A', 'ALTA'})",0.8968771357972768
"frozenset({'Q12A', 'Q20A'})",frozenset({'ALTA'}),1.0
frozenset({'Q20A'}),"frozenset({'Q12A', 'ALTA'})",0.9418565571015661
"frozenset({'Q12A', 'Q20C'})",frozenset({'ALTA'}),1.0
frozenset({'Q20C'}),"frozenset({'Q12A', 'ALTA'})",0.8766774020397209
"frozenset({'Q12A', 'Q21A'})",frozenset({'ALTA'}),1.0
frozenset({'Q21A'}),"frozenset({'Q12A', 'ALTA'})",0.9159915010857129
"frozenset({'Q21B', 'Q12A'})",frozenset({'ALTA'}),1.0
frozenset({'Q21B'}),"frozenset({'Q12A', 'ALTA'})",0.8330225123218329
"frozenset({'Q22B', 'Q12A'})",frozenset({'ALTA'}),1.0
frozenset({'Q22B'}),"frozenset({'Q12A', 'ALTA'})",0.893652772507995
"frozenset({'Q12A', 'Q22C'})",frozenset({'ALTA'}),1.0
frozenset({'Q22C'}),"frozenset({'Q12A', 'ALTA'})",0.8949602999558888
"frozenset({'Q12A', 'Q23B'})",frozenset({'ALTA'}),1.0
frozenset({'Q23B'}),"frozenset({'Q12A', 'ALTA'})",0.913917940466613
"frozenset({'Q12A', 'Q23C'})",frozenset({'ALTA'}),1.0
frozenset({'Q23C'}),"frozenset({'Q12A', 'ALTA'})",0.8965687079297324
"frozenset({'Q12A', 'Q24A'})",frozenset({'ALTA'}),1.0
frozenset({'Q24A'}),"frozenset({'Q12A', 'ALTA'})",0.8575177304964539
"frozenset({'Q12A', 'Q24E'})",frozenset({'ALTA'}),1.0
frozenset({'Q24E'}),"frozenset({'Q12A', 'ALTA'})",0.9230836211650654
"frozenset({'Q12A', 'Q25E'})",frozenset({'ALTA'}),1.0
frozenset({'Q25E'}),"frozenset({'Q12A', 'ALTA'})",0.8934685379395435
"frozenset({'Q12A', 'Q26F'})",frozenset({'ALTA'}),1.0
frozenset({'Q26F'}),"frozenset({'Q12A', 'ALTA'})",0.8961720395913662
"frozenset({'Q13A', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q13A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q13A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q13A', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20C', 'Q13A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q13A', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q13A', 'Q24E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q13A', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q13A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17A', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q17B', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q17B'}),"frozenset({'ALTA', 'Q15A'})",0.9735217450953492
"frozenset({'Q18A', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q15A'}),"frozenset({'ALTA', 'Q18A'})",0.815254955296426
"frozenset({'Q19B', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20A', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q20A'}),"frozenset({'ALTA', 'Q15A'})",0.8382738455333736
"frozenset({'Q20C', 'Q15A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q15A'})",frozenset({'ALTA'}),1.0
