antecedents,consequents,confidence
"frozenset({'Q22C', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q22C'}),"frozenset({'BAIXA', 'Q12A'})",0.9215419501133787
"frozenset({'Q12A', 'Q23B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23B'}),"frozenset({'BAIXA', 'Q12A'})",0.9415271370068945
"frozenset({'Q23C', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q23C'}),"frozenset({'BAIXA', 'Q12A'})",0.9202220923436586
"frozenset({'Q24E', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q24E'}),"frozenset({'BAIXA', 'Q12A'})",0.9419009832672071
"frozenset({'Q12A', 'Q25A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q25A'}),"frozenset({'BAIXA', 'Q12A'})",0.9308381655245124
"frozenset({'Q12A', 'Q25E'})",frozenset({'BAIXA'}),1.0
frozenset({'Q25E'}),"frozenset({'BAIXA', 'Q12A'})",0.929795988342191
"frozenset({'Q26F', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q26F'}),"frozenset({'BAIXA', 'Q12A'})",0.9265052496250269
"frozenset({'Q14A', 'Q13A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q14A'}),"frozenset({'Q13A', 'BAIXA'})",0.849612566548943
frozenset({'Q13A'}),"frozenset({'Q14A', 'BAIXA'})",0.9829846923217662
"frozenset({'Q13A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q13A'}),"frozenset({'BAIXA', 'Q15A'})",0.8180764774044033
frozenset({'Q15A'}),"frozenset({'Q13A', 'BAIXA'})",0.8653635249338751
"frozenset({'Q13A', 'Q17A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q17A'}),"frozenset({'Q13A', 'BAIXA'})",0.8559857175918273
"frozenset({'Q13A', 'Q18A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q18A'}),"frozenset({'Q13A', 'BAIXA'})",0.8364890498361786
"frozenset({'Q13A', 'Q19B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q19B'}),"frozenset({'Q13A', 'BAIXA'})",0.8268364348677766
"frozenset({'Q13A', 'Q20A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20A'}),"frozenset({'Q13A', 'BAIXA'})",0.8825485262401149
"frozenset({'Q13A', 'Q20C'})",frozenset({'BAIXA'}),1.0
frozenset({'Q20C'}),"frozenset({'Q13A', 'BAIXA'})",0.8222450755478207
"frozenset({'Q13A', 'Q21A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21A'}),"frozenset({'Q13A', 'BAIXA'})",0.8399982964950384
"frozenset({'Q13A', 'Q21B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q21B'}),"frozenset({'Q13A', 'BAIXA'})",0.8509114583333333
"frozenset({'Q13A', 'Q22B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q22B'}),"frozenset({'Q13A', 'BAIXA'})",0.8582725897400632
"frozenset({'Q13A', 'Q22C'})",frozenset({'BAIXA'}),1.0
